"","Manta_SVTYPE","Manta_TP_tmp","Manta_FP","Manta_Precision","Manta_FDR","GRIDSS_SVTYPE","GRIDSS_TP_tmp","GRIDSS_FP","GRIDSS_Precision","GRIDSS_FDR","Lumpy_SVTYPE","Lumpy_TP_tmp","Lumpy_FP","Lumpy_Precision","Lumpy_FDR"
"SUM",1759,1519,78,0.951158422041328,0.0443433769187038,1888,1380,338,0.80325960419092,0.179025423728814,1382,1297,85,0.93849493487699,0.0615050651230101
"DEL",396,376,20,0.94949494949495,0.0505050505050505,473,365,108,0.771670190274841,0.228329809725159,351,323,28,0.92022792022792,0.0797720797720798
"DUP",186,165,21,0.887096774193548,0.112903225806452,233,165,68,0.708154506437768,0.291845493562232,165,144,21,0.872727272727273,0.127272727272727
"INV",337,174,1,0.994285714285714,0.0029673590504451,457,182,105,0.634146341463415,0.229759299781182,177,174,3,0.983050847457627,0.0169491525423729
"INS",190,154,36,0.810526315789474,0.189473684210526,6,4,2,0.666666666666667,0.333333333333333,NA,0,0,NA,NA
"TRA",NA,159,0,NA,NA,NA,156,0,NA,NA,NA,149,0,NA,NA
"BND",650,650,0,1,0,719,664,55,0.923504867872045,0.0764951321279555,689,656,33,0.952104499274311,0.0478955007256894
"RPL",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"CTX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
"ITX",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA
