"","Truth_SV","Manta_TP","Manta_Sensitivity","GRIDSS_TP","GRIDSS_Sensitivity","Lumpy_TP","Lumpy_Sensitivity"
"SUM",1400,517,0.369285714285714,810,0.578571428571429,801,0.572142857142857
"DEL",200,69,0.345,131,0.655,130,0.65
"DEL_TRA",200,69,0.345,137,0.685,128,0.64
"DUP",200,32,0.16,143,0.715,133,0.665
"INV",200,133,0.665,161,0.805,159,0.795
"DINS",200,107,0.535,118,0.59,126,0.63
"FINS",200,2,0.01,0,0,0,0
"TRA",200,105,0.525,120,0.6,125,0.625
"BND",800,520,0.65,571,0.71375,568,0.71
"INS_BND",400,259,0.6475,283,0.7075,282,0.705
"TRA_BND",400,261,0.6525,288,0.72,286,0.715
